原始来源,原始大小,原始SHA256,目标路径,处理
C:\zyh\work\漏洞整理\优必选人型\EtherCAT-FoE无签名固件刷写\scripts\exploit_foe_flash.py,4217,8c8ae8d117a293a896297e90e8a9558318d77352dc505b1bec85979c3539e73e,工具\复现工具\其他机器人\UBH-001\exploit_foe_flash.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\EtherCAT-任意SDO读写-无认证\scripts\exploit_sdo_readwrite.py,6584,6b76ca2ca62ca469ff9f237caae8762fabe9ea904f817ccf237638d8981e4ccc,工具\复现工具\其他机器人\UBH-002\exploit_sdo_readwrite.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\EtherCAT-原始关节指令无钳位\scripts\exploit_servo_cmd.py,4626,8a18d4661a21c60879c79a94f8076d55d8612b5d1c8f1b04592b6753eccb6c35,工具\复现工具\其他机器人\UBH-003\exploit_servo_cmd.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\FastAPI-5000无认证信息泄露与docs暴露-1\scripts\fastapi_info_leak.py,2625,94eb6bd7fcd7bb4d8ceed30c715cb849d17a8723a83f5ad0b6cb7a2b074f04db,工具\复现工具\其他机器人\UBH-004\fastapi_info_leak.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\agora-遥操作AppID硬编码云端注入\scripts\exploit_agora.py,3220,17ff266e9e9e75e02ba0b54ad1d2e8ae589647036978fad3507a64225becd0f8,工具\复现工具\其他机器人\UBH-005\exploit_agora.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\api-export路径穿越任意文件读到双板root-1\scripts\export_traversal.py,3572,97da4428d50312d17f040de8e72d805926ee15e54dc3b6e8c08dfce8eedbc261,工具\复现工具\其他机器人\UBH-006\export_traversal.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\api-expression管理-无认证上传篡改-lead-1\scripts\expression_probe.py,3031,53bbc9a7553c12d978f450fd547699a3aacb842b8dbd5503106e15810a50b311,工具\复现工具\其他机器人\UBH-007\expression_probe.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\api-rename-folder任意目录移动\scripts\rename_folder_poc.py,4788,d0fd9245e8ef57f0c92a58b701735a40840d3c0fb981f21d56eaea85630d9fa9,工具\复现工具\其他机器人\UBH-008\rename_folder_poc.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\api-sysupload任意路径写-宿主root-RCE\scripts\check_root_ssh.py,705,f79dfa9bad721655c9ec6b5c5a5b765efd7589f14b8e7f36476eeae76588b041,工具\复现工具\其他机器人\UBH-009\check_root_ssh.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\api-sysupload任意路径写-宿主root-RCE\scripts\vision_host_root_rce.py,9403,727c211774f2ca0351771130e586187821cfb40d766bb2e03e7225cd17a97252,工具\复现工具\其他机器人\UBH-009\vision_host_root_rce.py,文本脱敏后导入
C:\zyh\work\漏洞整理\优必选人型\api-sysupload任意路径写跨板SFTP-RCE-1\scripts\dump_backend_src.py,1610,742717f2d711b63e929d386ba53b73b3b386c13a7f9f231759dbd4f81e404842,工具\复现工具\其他机器人\UBH-010\dump_backend_src.py,文本脱敏后导入
