原始来源,原始大小,原始SHA256,未提交原因
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权LuaRCE漏洞\evidence\02_system身份shell.png,57607,acaf5613c3190f42ae21a29a0d8f63262cbacafa4e4fe001f55bb0a7f16a77db,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权LuaRCE漏洞\evidence\03_提权root.png,45564,81cac33ccbc67621615e614e07bf7f728efff86c239dd04b3442b0d431696991,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权LuaRCE漏洞\evidence\2026-07-29_提权root证据.log,1003,5d4b53ad62ea656ed882bd861c3cccf38497dc4dbf1f5f86588dafbaf8425842,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权LuaRCE漏洞\evidence\2026-07-29_首次复现证据.log,1018,b329e2cd58812e40be1b097dd6b2f97d427b0148fbf4c581c270c212aa89c1a7,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权LuaRCE漏洞\evidence\exploit_run.log,1360,9da0a3b97ac54ad2dc344c584c3fe82c6b4f53876da105243ea2f17fbc469e7c,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权LuaRCE漏洞\tools\mtk-su,65144,328632e853ff6427af9f35cb83a91d9e960f35d01188ee66d46ae9c7ce7c7827,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权WS_RCE漏洞\evidence\exploit_ws_run.log,2752,9b42ed0782b202f56a9429925872a123784374576f1d091ab7c5acfd7c5fa5aa,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权WS_RCE漏洞\evidence\Screen Recording 2026-07-29 174757.mp4,142303070,42a0f791977b61a37a1de7e65c31168cd9d2a2448f61180890a4e2c990690824,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权WS_RCE漏洞\evidence\Screenshot 2026-07-29 175126.png,372407,9dd2000f496696af18c4f79d196c640c8e71697bb81f79065b0fedea02889207,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\优必选AI悟空EDU\局域网内未授权WS_RCE漏洞\tools\mtk-su,65144,328632e853ff6427af9f35cb83a91d9e960f35d01188ee66d46ae9c7ce7c7827,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
