原始来源,原始大小,原始SHA256,未提交原因
C:\zyh\work\漏洞整理\伽利略\ZMQ5555未授权RPC运动控制\evidence\hermesmm.yaml,564,8eb65b917fcea2ebcd4762297fac9b01879cd4da59f82c2d302809f646a89d90,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\ZMQ5555未授权RPC运动控制\evidence\strings_symbols.txt,24911,ef5e9fbe3bf91c010c85cfb0d05c78af394f3aa1a97363abbdcf4a59afbe9ab6,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\ZMQ5555未授权RPC运动控制\evidence\wire格式还原与验证_20260829.md,2874,d023d5b6cad176fc599ed0e15f5ce934fac9bcf2654ee047ede735ebab9ac380,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\hostapd配置注入AP接管-2\evidence\set_ssid_disassembly.txt,2839,d9b7bcba5f2299f2e26c64791c983c6f4d71847e5b3adcbb0e86d676dfa639c8,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\mediamtx匿名发布驱逐摄像头-1\evidence\ev_front_1787980418_0.jpg,32248,e26308b7f436b21fa506993d5ff388151d7d270639c48c53c0de2b70234b8b8d,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\mediamtx匿名发布驱逐摄像头-1\evidence\ev_front_1787980418_1.jpg,32489,2ec238606aa7c103b726620bb0dae873836d113038628a72a556a08b139a1c50,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\mediamtx匿名发布驱逐摄像头-1\evidence\ev_front_1787980570_0.jpg,39140,c993d08dace0b2806ecd657b003bb3ddd6a0bf4d58578d082557dbc8f8a38aa4,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\mediamtx匿名发布驱逐摄像头-1\evidence\mediamtx.yml,28112,144d243ce144f88e8c325998107d456e50f40a74acf2822fce45c687ae6d081a,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\robot_env接口路径穿越读写\evidence\AUD-web-robot-env-path-traversal.md,4876,2f602fda4a1ecdb86cf9628a9e8ecf39070fa863fcdf3fe9dccc2da7b67f0d91,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\robot_env接口路径穿越读写\evidence\实测复现证据_20260829.md,2631,9f1a64b80767e9a8def2708824ae8e035789d45e7af4390525047f01bee4ac6f,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
